Entry: type = H; first = Symbols; second = ; third = 
Entry: type = S; first = .'; second = scalar; third = transpose, 04_Vectors.htm#101
Entry: type = S; first = .^; second = scalar; third = power, 04_Vectors.htm#101
Entry: type = S; first = '; second = matrix; third = transpose, 04_Vectors.htm#102
Entry: type = C; first = string; second = delimiter; third = 
Entry: type = S; first = ^; second = matrix; third = power, 04_Vectors.htm#102
Entry: type = S; first = +; second = unary; third = positive, 04_Vectors.htm#103
Entry: type = S; first = -; second = unary; third = negative, 04_Vectors.htm#103
Entry: type = S; first = ~; second = unary; third = negation, 04_Vectors.htm#103
Entry: type = S; first = .*; second = scalar; third = multiplication, 04_Vectors.htm#104
Entry: type = S; first = ./; second = scalar; third = division, 04_Vectors.htm#104
Entry: type = S; first = .\; second = scalar; third = left_divide, 04_Vectors.htm#104
Entry: type = S; first = *; second = matrix; third = multiplication, 04_Vectors.htm#104
Entry: type = S; first = /; second = matrix; third = division, 04_Vectors.htm#104
Entry: type = S; first = \; second = matrix; third = left_divide, 04_Vectors.htm#104
Entry: type = C; first = backslash; second = _; third = 06_Strings.htm, 120#
Entry: type = S; first = +; second = addition; third = _, 04_Vectors.htm#105
Entry: type = S; first = -; second = subtraction; third = _, 04_Vectors.htm#105
Entry: type = S; first = :; second = colon; third = operator, 04_Vectors.htm#106
Entry: type = S; first = <; second = less; third = than, 04_Vectors.htm#107
Entry: type = S; first = <=; second = less; third = than_or_equal_to, 04_Vectors.htm#107
Entry: type = S; first = >=; second = greater; third = than_or_equal_to, 04_Vectors.htm#107
Entry: type = S; first = >; second = greater; third = than, 04_Vectors.htm#107
Entry: type = S; first = ==; second = equals; third = _, 04_Vectors.htm#107
Entry: type = S; first = ~=; second = not; third = equals, 04_Vectors.htm#107
Entry: type = S; first = =; second = assignment; third = operator, 02_Basics.htm#2_2_2
Entry: type = S; first = &; second = element-wise; third = AND, 04_Vectors.htm#108
Entry: type = S; first = |; second = element-wise; third = OR, 04_Vectors.htm#109
Entry: type = S; first = &&; second = short-circuit; third = AND, 04_Vectors.htm#110
Entry: type = S; first = ||; second = short-circuit; third = OR, 04_Vectors.htm#111
Entry: type = S; first = <...>; second = enter; third = parameters, Appendix_A.htm#201
Entry: type = S; first = %; second = percent; third = sign, Appendix_A.htm#202
Entry: type = S; first = .; second = structure; third = field, Appendix_A.htm#215
Entry: type = S; first = ...; second = next; third = line, Appendix_A.htm#216
Entry: type = S; first = []; second = empty; third = vector, Appendix_A.htm#204
Entry: type = S; first = ;; second = suppress; third = output, Appendix_A.htm#211
Entry: type = C; first = new; second = row; third = Appendix_A.htm, 212#
Entry: type = S; first = _; second = underscore; third = character, 02_Basics.htm#250
Entry: type = H; first = A; second = ; third = 
Entry: type = N; first = A/D; second = analog; third = to_digital
Entry: type = N; first = abstraction; second = ; third = 
Entry: type = N; first = acosd(...); second = ...; third = 
Entry: type = N; first = activation; second = stack; third = 
Entry: type = N; first = actual; second = parameters; third = 
Entry: type = N; first = adjacency; second = matrix; third = 
Entry: type = C; first = creation; second = of; third = 
Entry: type = N; first = algorithms; second = ; third = 
Entry: type = C; first = Breadth-First; second = Search; third = 
Entry: type = C; first = bubble; second = sort; third = 
Entry: type = C; first = complex,; second = analyzing; third = 
Entry: type = C; first = Dijkstras; second = ; third = 
Entry: type = C; first = insertion; second = sort; third = 
Entry: type = C; first = measuring; second = cost; third = of
Entry: type = C; first = merge; second = sort; third = 
Entry: type = C; first = performance; second = analysis; third = of
Entry: type = C; first = Prims; second = ; third = 
Entry: type = C; first = quick; second = sort; third = 
Entry: type = C; first = radix; second = sort; third = 
Entry: type = N; first = all(...); second = ...; third = 
Entry: type = N; first = alpha(...); second = ...; third = 
Entry: type = N; first = ASCII; second = ; third = 
Entry: type = N; first = ampersand; second = &; third = 
Entry: type = N; first = analog-to-digital; second = A/D; third = device
Entry: type = N; first = AND; second = ; third = 
Entry: type = C; first = element-wise; second = &; third = 
Entry: type = C; first = short-circuit; second = &&; third = 
Entry: type = N; first = any(...); second = ...; third = 
Entry: type = N; first = approximation; second = ; third = 
Entry: type = N; first = arithmetic; second = operations; third = 
Entry: type = C; first = with; second = arrays; third = 
Entry: type = C; first = on; second = character; third = strings
Entry: type = C; first = with; second = vectors; third = 
Entry: type = N; first = array; second = ; third = 
Entry: type = C; first = division; second = ./; third = 
Entry: type = C; first = exponentiation; second = .^; third = 
Entry: type = C; first = multiplication; second = .*; third = 
Entry: type = C; first = arithmetic; second = operations; third = with
Entry: type = C; first = cell; second = ; third = 
Entry: type = C; first = character; second = strings; third = 
Entry: type = C; first = concatenation; second = ; third = 
Entry: type = C; first = creating; second = ; third = 
Entry: type = C; first = elements; second = of; third = 
Entry: type = C; first = inserting; second = data; third = into
Entry: type = C; first = linear; second = ; third = 
Entry: type = C; first = linearized; second = ; third = 
Entry: type = C; first = logical; second = operations; third = with
Entry: type = C; first = matrices; second = vs.; third = 
Entry: type = C; first = operations; second = ; third = 
Entry: type = C; first = properties; second = of; third = 
